Rk,Player,Tm,s201617,s201718,s201819,s201920,s202021,s202122,Signed Using,Guaranteed
1,DeMar DeRozan,TOR,$26540100,$27739975,$27739975,$27739975,$27739975,,Cap Space,$109760025
2,Russell Westbrook,OKC,$26540100,$28530608,$30670404,,,,Bird Rights,$55070708
3,Mike Conley,MEM,$26540100,$28530608,$30521115,$32511623,$34504132,,Cap Space,$140529829
4,James Harden,HOU,$26540100,$28299339,$30431854,$32703493,,,Bird Rights,$85271293
5,Kevin Durant,GSW,$26540100,$27734406,,,,,Cap Space,$26540100
6,Al Horford,BOS,$26540100,$27734405,$28928710,$30123015,,,Cap Space,$83203215
7,Dirk Nowitzki,DAL,$25000000,$25000000,,,,,Bird Rights,$25000000
8,Carmelo Anthony,NYK,$24559380,$26243760,$27928140,,,,Bird Rights,$50803140
9,Damian Lillard,POR,$24328425,$26153057,$27977689,$29802321,$31626953,,1st Round Pick,$139888445
10,Chris Bosh,MIA,$23741060,$25289390,$26837720,,,,Bird Rights,$75868170
11,Dwyane Wade,CHI,$23200000,$23800000,,,,,Cap Space,$23200000
12,Dwight Howard,ATL,$23180275,$23500000,$23819725,,,,Cap Space,$70500000
13,Chris Paul,LAC,$22868828,$24268960,,,,,Bird Rights,$22868828
14,Bradley Beal,WAS,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$127171313
15,Anthony Davis,NOP,$22116750,$23775506,$25434263,$27093019,$28751775,,1st Round Pick,$127171313
16,Hassan Whiteside,MIA,$22116750,$23775506,$25434263,$27093018,,,Cap Space,$71326519
17,Chandler Parsons,MEM,$22116750,$23112004,$24107258,$25102511,,,Cap Space,$94438523
18,Andre Drummond,DET,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$98419538
19,Harrison Barnes,DAL,$22116750,$23112004,$24107258,$25102512,,,Cap Space,$69336012
20,Derrick Rose,NYK,$21323250,,,,,,Bird Rights,$21323250
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
21,Marc Gasol,MEM,$21165675,$22642350,$24119025,$25595700,,,Bird Rights,$67927050
22,DeAndre Jordan,LAC,$21165675,$22642350,$24119025,,,,Bird Rights,$43808025
23,Kevin Love,CLE,$21165675,$22642350,$24119025,$25595700,,,Bird Rights,$67927050
24,Brook Lopez,BRK,$21165675,$22642350,,,,,Bird Rights,$43808025
25,Nicolas Batum,CHO,$20869566,$22434783,$24000000,$25565217,$27130434,,Cap Space,$92869566
26,LaMarcus Aldridge,SAS,$20575005,$21461010,$22347015,,,,Cap Space,$42036015
27,Blake Griffin,LAC,$20140838,$21373950,,,,,Bird Rights,$41514788
28,Paul Millsap,ATL,$20072033,$21472407,,,,,Bird Rights,$20072033
29,Ryan Anderson,HOU,$18735364,$19578455,$20421546,$21264635,,,Cap Space,$80000000
30,Allen Crabbe,POR,$18500000,$18500000,$19332500,$18500000,,,Cap Space,$56332500
31,Paul George,IND,$18314532,$19508958,$20703384,,,,1st Round Pick,$37823490
32,Luol Deng,LAL,$18000000,$17190000,$18000000,$18810000,,,Cap Space,$72000000
33,Kawhi Leonard,SAS,$17638063,$18868625,$20099189,$21329752,,,Bird Rights,$56605877
34,Kyrie Irving,CLE,$17638063,$18868625,$20099188,$21329750,,,Bird Rights,$56605876
35,Jimmy Butler,CHI,$17552209,$18696918,$19841624,$19841624,,,Bird Rights,$56090751
36,Tobias Harris,DET,$17200000,$16000000,$14800000,,,,Bird Rights,$48000000
37,Enes Kanter,OKC,$17145838,$17884176,$18622514,,,,Bird Rights,$35030014
38,Greg Monroe,MIL,$17100000,$17900000,,,,,Cap Space,$17100000
39,Wesley Matthews,DAL,$17100000,$17900000,$18600000,,,,Cap Space,$53600000
40,Bismack Biyombo,ORL,$17000000,$17000000,$17000000,$18872365,,,Cap Space,$51000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
41,Evan Fournier,ORL,$17000000,$17000000,$17000000,$17000000,$17000000,,Cap Space,$85000000
42,Joakim Noah,NYK,$17000000,$17765000,$18530000,$19295000,,,Cap Space,$72590000
43,John Wall,WAS,$16957900,$18063850,$19169800,,,,1st Round Pick,$54191550
44,DeMarcus Cousins,SAC,$16957900,$18063850,,,,,1st Round Pick,$35021750
45,Klay Thompson,GSW,$16663575,$17826150,$18988725,,,,1st Round Pick,$53478450
46,Evan Turner,POR,$16393443,$17131148,$17868852,$18606557,,,Cap Space,$70000000
47,Gordon Hayward,UTA,$16073140,$16736710,,,,,Bird Rights,$16073140
48,Timofey Mozgov,LAL,$16000000,$15280000,$16000000,$16720000,,,Cap Space,$64000000
49,Ian Mahinmi,WAS,$15944154,$16661641,$15944154,$15450051,,,Cap Space,$64000000
50,Goran Dragic,MIA,$15890000,$17000000,$18110000,$19220000,,,Bird Rights,$51000000
51,Kent Bazemore,ATL,$15730338,$16910113,$18089887,$19269662,,,Cap Space,$50730338
52,Pau Gasol,SAS,$15500000,$16197500,,,,,Cap Space,$15500000
53,Draymond Green,GSW,$15330435,$16400000,$17469565,$18539130,,,Bird Rights,$67739130
54,Tristan Thompson,CLE,$15330435,$16400000,$17469565,$18539130,,,Bird Rights,$67739130
55,Khris Middleton,MIL,$15200000,$14100000,$13000000,$13000000,,,Bird Rights,$42300000
56,Jeff Green,ORL,$15000000,,,,,,Cap Space,$15000000
57,Danilo Gallinari,DEN,$15000000,$16000000,,,,,,$15000000
58,Reggie Jackson,DET,$14956522,$16000000,$17043478,$18086956,,,Bird Rights,$66086956
59,Tony Parker,SAS,$14445313,$15453126,,,,,Bird Rights,$29898439
60,Jonas Valanciunas,TOR,$14382022,$15460675,$16539326,$17617977,,,1st Round Pick,$46382023
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
61,DeMarre Carroll,TOR,$14200000,$14800000,$15400000,,,,Cap Space,$44400000
62,Thaddeus Young,IND,$14153652,$14796348,$13764045,,,,Bird Rights,$28950000
63,Manu Ginobili,SAS,$14000000,,,,,,Cap Space,$14000000
64,Eric Bledsoe,PHO,$14000000,$14500000,$15000000,,,,Bird Rights,$43500000
65,Rajon Rondo,CHI,$14000000,$13397000,,,,,Cap Space,$17000000
66,Ricky Rubio,MIN,$13550000,$14250000,$14800000,,,,1st Round Pick,$42600000
67,Rudy Gay,SAC,$13333333,$14263566,,,,,Bird Rights,$13333333
68,Jamal Crawford,LAC,$13253012,$14264988,$14500000,,,,Cap Space,$30518000
69,Robin Lopez,CHI,$13219250,$13788500,$14357750,,,,Cap Space,$41365500
70,Michael Kidd-Gilchrist,CHO,$13000000,$13000000,$13000000,$13000000,,,1st Round Pick,$39000000
71,Brandon Knight,PHO,$12606250,$13618750,$14631250,$15643750,,,,$56500000
72,John Henson,MIL,$12517606,$11672536,$10827466,$9982396,,,1st Round Pick,$45000004
73,Arron Afflalo,SAC,$12500000,$12500000,,,,,Cap Space,$14000000
74,Miles Plumlee,MIL,$12500000,$12500000,$12500000,$12500000,,,Bird Rights,$50000000
75,Jordan Clarkson,LAL,$12500000,$11562500,$12500000,$13437500,,,Cap Space,$50000000
76,Tyson Chandler,PHO,$12415000,$13000000,$13585000,,,,Cap Space,$39000000
77,Eric Gordon,HOU,$12385364,$12943020,$13500375,$14057730,,,Cap Space,$52886489
78,Serge Ibaka,ORL,$12250000,,,,,,Bird Rights,$12250000
